,drug1,drug2,cliff
49,CHEMBL208118,CHEMBL380889,0
50,CHEMBL208118,CHEMBL382823,0
51,CHEMBL208286,CHEMBL378370,0
52,CHEMBL208286,CHEMBL379601,0
53,CHEMBL208286,CHEMBL379905,0
54,CHEMBL208292,CHEMBL377772,0
55,CHEMBL208292,CHEMBL380454,0
56,CHEMBL210928,CHEMBL210963,0
57,CHEMBL210928,CHEMBL378627,0
58,CHEMBL210963,CHEMBL378627,0
59,CHEMBL211003,CHEMBL376967,0
60,CHEMBL211003,CHEMBL380006,0
61,CHEMBL211003,CHEMBL380386,0
62,CHEMBL211003,CHEMBL380889,0
63,CHEMBL211003,CHEMBL382823,0
64,CHEMBL212382,CHEMBL212968,0
65,CHEMBL212382,CHEMBL215652,0
66,CHEMBL212968,CHEMBL213423,0
67,CHEMBL213423,CHEMBL215652,0
68,CHEMBL223367,CHEMBL373598,0
69,CHEMBL2312303,CHEMBL2312304,0
70,CHEMBL376967,CHEMBL380006,0
71,CHEMBL376967,CHEMBL382823,0
72,CHEMBL377772,CHEMBL380454,0
73,CHEMBL378370,CHEMBL379905,0
74,CHEMBL379601,CHEMBL379905,0
75,CHEMBL380006,CHEMBL382823,0
76,CHEMBL380386,CHEMBL382823,0
77,CHEMBL382822,CHEMBL383760,0
78,CHEMBL383246,CHEMBL425601,0
79,CHEMBL485285,CHEMBL485286,0
80,CHEMBL495729,CHEMBL523559,0
81,CHEMBL1087421,CHEMBL1088633,0
82,CHEMBL1933552,CHEMBL1933538,0
83,CHEMBL1933552,CHEMBL1933550,0
84,CHEMBL1933552,CHEMBL1933551,0
85,CHEMBL210032,CHEMBL2006567,0
86,CHEMBL210928,CHEMBL210963,0
87,CHEMBL210928,CHEMBL378627,0
88,CHEMBL210963,CHEMBL378627,0
89,CHEMBL223367,CHEMBL373598,0
90,CHEMBL223367,CHEMBL413779,0
91,CHEMBL2312303,CHEMBL2312304,0
92,CHEMBL373598,CHEMBL223257,0
93,CHEMBL373598,CHEMBL413779,0
94,CHEMBL377383,CHEMBL377408,0
95,CHEMBL377383,CHEMBL424872,0
96,CHEMBL377383,CHEMBL2004355,0
97,CHEMBL377383,CHEMBL2006581,0
98,CHEMBL1682545,CHEMBL1682546,0
99,CHEMBL1682545,CHEMBL1682345,0
100,CHEMBL1682545,CHEMBL1682357,0
101,CHEMBL1682546,CHEMBL1682357,0
102,CHEMBL185569,CHEMBL375284,0
103,CHEMBL196363,CHEMBL1973145,0
104,CHEMBL196363,CHEMBL1983963,0
105,CHEMBL196363,CHEMBL211378,0
106,CHEMBL196363,CHEMBL394619,0
107,CHEMBL1965507,CHEMBL1990583,0
108,CHEMBL1965631,CHEMBL1977223,0
109,CHEMBL1965988,CHEMBL1973211,0
110,CHEMBL1965988,CHEMBL1979577,0
111,CHEMBL1965988,CHEMBL1979883,0
112,CHEMBL1965988,CHEMBL394619,0
113,CHEMBL1965988,CHEMBL1969102,0
114,CHEMBL1966514,CHEMBL1969102,0
115,CHEMBL1967116,CHEMBL1979883,0
116,CHEMBL1967116,CHEMBL1969102,0
117,CHEMBL1967116,CHEMBL1970317,0
118,CHEMBL1967302,CHEMBL1987679,0
119,CHEMBL1968791,CHEMBL2007151,0
120,CHEMBL1972584,CHEMBL1970879,0
121,CHEMBL1973145,CHEMBL1983963,0
122,CHEMBL1973145,CHEMBL211378,0
123,CHEMBL1973211,CHEMBL1979577,0
124,CHEMBL1973211,CHEMBL1979883,0
125,CHEMBL1973211,CHEMBL1982465,0
126,CHEMBL1973211,CHEMBL1969102,0
127,CHEMBL1973211,CHEMBL1971947,0
128,CHEMBL1973937,CHEMBL271381,0
129,CHEMBL1974935,CHEMBL1983945,0
130,CHEMBL1974935,CHEMBL1968245,0
131,CHEMBL1979577,CHEMBL1979883,0
132,CHEMBL1979577,CHEMBL1982465,0
133,CHEMBL1979883,CHEMBL1982465,0
134,CHEMBL1979883,CHEMBL1969102,0
135,CHEMBL1982465,CHEMBL1971947,0
136,CHEMBL1983025,CHEMBL2001257,0
137,CHEMBL1983945,CHEMBL1985580,0
138,CHEMBL1983963,CHEMBL211378,0
139,CHEMBL1983963,CHEMBL394619,0
140,CHEMBL1991138,CHEMBL1988370,0
141,CHEMBL1992242,CHEMBL375284,0
142,CHEMBL1992922,CHEMBL2000071,0
143,CHEMBL1993722,CHEMBL1985311,0
144,CHEMBL1994538,CHEMBL2003817,0
145,CHEMBL1996817,CHEMBL2000071,0
146,CHEMBL1997129,CHEMBL226471,1
147,CHEMBL1997617,CHEMBL1965910,0
148,CHEMBL1998545,CHEMBL1969755,0
149,CHEMBL2002446,CHEMBL387971,0
150,CHEMBL2002726,CHEMBL2000271,0
151,CHEMBL2007592,CHEMBL1970806,0
152,CHEMBL211378,CHEMBL394619,0
153,CHEMBL220057,CHEMBL1964307,0
154,CHEMBL220057,CHEMBL1976328,0
155,CHEMBL220057,CHEMBL219722,0
156,CHEMBL249282,CHEMBL398951,0
157,CHEMBL256835,CHEMBL95692,0
158,CHEMBL296586,CHEMBL336961,0
159,CHEMBL377408,CHEMBL424872,0
160,CHEMBL377408,CHEMBL2004355,0
161,CHEMBL377408,CHEMBL2006581,0
162,CHEMBL402846,CHEMBL404367,0
163,CHEMBL424872,CHEMBL2004355,0
164,CHEMBL424872,CHEMBL2006581,0
165,CHEMBL474432,CHEMBL514499,0
166,CHEMBL410643,CHEMBL271190,0
167,CHEMBL1972258,CHEMBL1989518,0
168,CHEMBL1682345,CHEMBL1682357,0
169,CHEMBL1682345,CHEMBL1984432,0
170,CHEMBL1964307,CHEMBL1976328,0
171,CHEMBL1964307,CHEMBL219722,0
172,CHEMBL1965910,CHEMBL1988370,0
173,CHEMBL1966524,CHEMBL1972840,0
174,CHEMBL1969102,CHEMBL1971947,0
175,CHEMBL1971017,CHEMBL1974457,0
176,CHEMBL1971017,CHEMBL1975787,0
177,CHEMBL1974457,CHEMBL1975787,0
178,CHEMBL1975787,CHEMBL1999556,0
179,CHEMBL1981045,CHEMBL1985566,0
180,CHEMBL1983006,CHEMBL207995,0
181,CHEMBL1984206,CHEMBL209534,0
182,CHEMBL1991728,CHEMBL1993166,0
183,CHEMBL1991728,CHEMBL2000685,0
184,CHEMBL1996390,CHEMBL1999556,0
185,CHEMBL2004355,CHEMBL2006581,0
186,CHEMBL223257,CHEMBL413779,0
187,CHEMBL1089082,CHEMBL1090143,0
188,CHEMBL1650545,CHEMBL1650551,0
189,CHEMBL1933538,CHEMBL1933550,0
190,CHEMBL1933550,CHEMBL1933551,0
191,CHEMBL1992644,CHEMBL482538,0
192,CHEMBL2312646,CHEMBL2312652,0
193,CHEMBL2036343,CHEMBL2338333,0
194,CHEMBL2036343,CHEMBL574646,1
195,CHEMBL2338333,CHEMBL2338334,0
196,CHEMBL2338333,CHEMBL2338335,0
197,CHEMBL2338333,CHEMBL574646,0
198,CHEMBL2338334,CHEMBL2338335,0
199,CHEMBL379849,CHEMBL574646,1
200,CHEMBL484967,CHEMBL484968,0
201,CHEMBL568922,CHEMBL576887,0
202,CHEMBL568922,CHEMBL576989,0
203,CHEMBL568922,CHEMBL578601,0
204,CHEMBL576887,CHEMBL576989,0
205,CHEMBL576887,CHEMBL578601,0
206,CHEMBL576989,CHEMBL578601,1
207,CHEMBL1087421,CHEMBL1088633,0
208,CHEMBL210032,CHEMBL2006567,0
209,CHEMBL210928,CHEMBL210963,0
210,CHEMBL210928,CHEMBL378627,0
211,CHEMBL210963,CHEMBL378627,0
212,CHEMBL223367,CHEMBL373598,0
213,CHEMBL223367,CHEMBL413779,0
214,CHEMBL373598,CHEMBL223257,0
215,CHEMBL373598,CHEMBL413779,0
216,CHEMBL377383,CHEMBL377408,0
217,CHEMBL377383,CHEMBL424872,0
218,CHEMBL377383,CHEMBL2004355,0
219,CHEMBL377383,CHEMBL2006581,0
220,CHEMBL1682341,CHEMBL1682346,0
221,CHEMBL1682341,CHEMBL1682545,0
222,CHEMBL1682341,CHEMBL1682345,0
223,CHEMBL1682341,CHEMBL1682357,0
224,CHEMBL1682341,CHEMBL1682360,0
225,CHEMBL1682346,CHEMBL1682345,0
226,CHEMBL1682346,CHEMBL1984432,0
227,CHEMBL1682545,CHEMBL1682546,0
228,CHEMBL1682545,CHEMBL1682345,0
229,CHEMBL1682545,CHEMBL1682357,0
230,CHEMBL1682545,CHEMBL1682360,0
231,CHEMBL1682546,CHEMBL1682357,0
232,CHEMBL185569,CHEMBL375284,0
233,CHEMBL196363,CHEMBL1973145,0
234,CHEMBL196363,CHEMBL1983963,0
235,CHEMBL196363,CHEMBL211378,0
236,CHEMBL196363,CHEMBL394619,0
237,CHEMBL1965507,CHEMBL1990583,0
238,CHEMBL1965631,CHEMBL1977223,0
239,CHEMBL1965988,CHEMBL1973211,0
240,CHEMBL1965988,CHEMBL1979577,0
241,CHEMBL1965988,CHEMBL1979883,0
242,CHEMBL1965988,CHEMBL394619,0
243,CHEMBL1965988,CHEMBL1969102,0
244,CHEMBL1966514,CHEMBL1969102,0
245,CHEMBL1967116,CHEMBL1979883,0
246,CHEMBL1967116,CHEMBL1969102,0
247,CHEMBL1967116,CHEMBL1970317,0
248,CHEMBL1967302,CHEMBL1987679,0
249,CHEMBL1968791,CHEMBL2007151,0
250,CHEMBL1972584,CHEMBL1970879,0
251,CHEMBL1973145,CHEMBL1983963,0
252,CHEMBL1973145,CHEMBL211378,0
253,CHEMBL1973211,CHEMBL1979577,0
254,CHEMBL1973211,CHEMBL1979883,0
255,CHEMBL1973211,CHEMBL1982465,0
256,CHEMBL1973211,CHEMBL1969102,0
257,CHEMBL1973211,CHEMBL1971947,0
258,CHEMBL1973348,CHEMBL2001751,0
259,CHEMBL1973348,CHEMBL1994361,0
260,CHEMBL1973937,CHEMBL271381,0
261,CHEMBL1974935,CHEMBL1983945,0
262,CHEMBL1974935,CHEMBL1968245,0
263,CHEMBL1976455,CHEMBL2003817,0
264,CHEMBL1979577,CHEMBL1979883,0
265,CHEMBL1979577,CHEMBL1982465,0
266,CHEMBL1979883,CHEMBL1982465,0
267,CHEMBL1979883,CHEMBL1969102,0
268,CHEMBL1982465,CHEMBL1971947,0
269,CHEMBL1983025,CHEMBL2001257,0
270,CHEMBL1983945,CHEMBL1985580,0
271,CHEMBL1983963,CHEMBL211378,0
272,CHEMBL1983963,CHEMBL394619,0
273,CHEMBL1991138,CHEMBL1988370,0
274,CHEMBL1991395,CHEMBL2005792,0
275,CHEMBL1992242,CHEMBL375284,0
276,CHEMBL1992922,CHEMBL2000071,0
277,CHEMBL1993722,CHEMBL1985311,0
278,CHEMBL1993781,CHEMBL1991846,0
279,CHEMBL1994538,CHEMBL2003817,0
280,CHEMBL1996817,CHEMBL2000071,0
281,CHEMBL1997129,CHEMBL226471,1
282,CHEMBL1997617,CHEMBL1965910,0
283,CHEMBL1998545,CHEMBL1969755,0
284,CHEMBL2001751,CHEMBL1994361,0
285,CHEMBL2002446,CHEMBL387971,0
286,CHEMBL2002726,CHEMBL2000271,0
287,CHEMBL2007592,CHEMBL1970806,0
288,CHEMBL211378,CHEMBL394619,0
289,CHEMBL220057,CHEMBL1964307,0
290,CHEMBL220057,CHEMBL1976328,0
291,CHEMBL220057,CHEMBL219722,0
292,CHEMBL249282,CHEMBL398951,0
293,CHEMBL256835,CHEMBL95692,0
294,CHEMBL296586,CHEMBL336961,0
295,CHEMBL377408,CHEMBL424872,0
296,CHEMBL377408,CHEMBL2004355,0
297,CHEMBL377408,CHEMBL2006581,0
298,CHEMBL402846,CHEMBL404367,0
299,CHEMBL424872,CHEMBL2004355,0
300,CHEMBL424872,CHEMBL2006581,0
301,CHEMBL468280,CHEMBL523823,0
302,CHEMBL474432,CHEMBL514499,0
303,CHEMBL1972258,CHEMBL1989518,0
304,CHEMBL1682345,CHEMBL1682357,0
305,CHEMBL1682345,CHEMBL1984432,0
306,CHEMBL1682345,CHEMBL1682360,0
307,CHEMBL1682357,CHEMBL1682360,0
308,CHEMBL1964307,CHEMBL1976328,0
309,CHEMBL1964307,CHEMBL219722,0
310,CHEMBL1965910,CHEMBL1988370,0
311,CHEMBL1966524,CHEMBL1972840,0
312,CHEMBL1969102,CHEMBL1971947,0
313,CHEMBL1971017,CHEMBL1974457,0
314,CHEMBL1971017,CHEMBL1975787,0
315,CHEMBL1974457,CHEMBL1975787,0
316,CHEMBL1975787,CHEMBL1999556,0
317,CHEMBL1981045,CHEMBL1985566,0
318,CHEMBL1983006,CHEMBL207995,0
319,CHEMBL1984206,CHEMBL209534,0
320,CHEMBL1991577,CHEMBL466496,1
321,CHEMBL1991728,CHEMBL1993166,0
322,CHEMBL1991728,CHEMBL2000685,0
323,CHEMBL1996390,CHEMBL1999556,0
324,CHEMBL2000104,CHEMBL1972362,0
325,CHEMBL2004355,CHEMBL2006581,0
326,CHEMBL223257,CHEMBL413779,0
327,CHEMBL1984842,CHEMBL1987648,0
328,CHEMBL484967,CHEMBL484968,0
329,CHEMBL568922,CHEMBL576887,0
330,CHEMBL568922,CHEMBL576989,0
331,CHEMBL568922,CHEMBL578601,1
332,CHEMBL576887,CHEMBL576989,0
333,CHEMBL576887,CHEMBL578601,1
334,CHEMBL576989,CHEMBL578601,1
335,CHEMBL79004,CHEMBL310179,0
336,CHEMBL79004,CHEMBL311306,1
337,CHEMBL79004,CHEMBL312648,1
338,CHEMBL79004,CHEMBL78862,0
339,CHEMBL79004,CHEMBL78885,1
340,CHEMBL79004,CHEMBL78917,0
341,CHEMBL79004,CHEMBL80843,0
342,CHEMBL79004,CHEMBL82136,1
343,CHEMBL309265,CHEMBL78862,1
344,CHEMBL310179,CHEMBL312648,1
345,CHEMBL310179,CHEMBL78862,0
346,CHEMBL310179,CHEMBL78885,0
347,CHEMBL310179,CHEMBL78917,0
348,CHEMBL310179,CHEMBL80843,0
349,CHEMBL310179,CHEMBL82136,0
350,CHEMBL311201,CHEMBL81169,0
351,CHEMBL311201,CHEMBL81170,0
352,CHEMBL311201,CHEMBL81214,0
353,CHEMBL311306,CHEMBL78862,1
354,CHEMBL311306,CHEMBL78917,1
355,CHEMBL311306,CHEMBL80843,1
356,CHEMBL312170,CHEMBL81603,1
357,CHEMBL312648,CHEMBL78862,1
358,CHEMBL312648,CHEMBL78885,1
359,CHEMBL312648,CHEMBL78917,1
360,CHEMBL312648,CHEMBL80843,1
361,CHEMBL312651,CHEMBL81229,0
362,CHEMBL312676,CHEMBL312698,1
363,CHEMBL312698,CHEMBL80121,0
364,CHEMBL312698,CHEMBL81315,1
365,CHEMBL468125,CHEMBL481248,0
366,CHEMBL468125,CHEMBL519113,0
367,CHEMBL481248,CHEMBL519113,0
368,CHEMBL78862,CHEMBL78885,0
369,CHEMBL78862,CHEMBL78917,0
370,CHEMBL78862,CHEMBL80793,1
371,CHEMBL78862,CHEMBL80843,0
372,CHEMBL78862,CHEMBL82136,0
373,CHEMBL78885,CHEMBL78917,0
374,CHEMBL78885,CHEMBL80843,0
375,CHEMBL78885,CHEMBL82136,0
376,CHEMBL78917,CHEMBL80843,0
377,CHEMBL78917,CHEMBL82136,0
378,CHEMBL80121,CHEMBL81315,1
379,CHEMBL80619,CHEMBL81214,0
380,CHEMBL80843,CHEMBL82136,0
381,CHEMBL81169,CHEMBL81170,0
382,CHEMBL81169,CHEMBL81214,0
383,CHEMBL81170,CHEMBL81214,0
384,CHEMBL1087421,CHEMBL1088633,0
385,CHEMBL1090360,CHEMBL1090356,0
386,CHEMBL1090360,CHEMBL1991429,0
387,CHEMBL206783,CHEMBL207037,0
388,CHEMBL206783,CHEMBL207246,0
389,CHEMBL206783,CHEMBL207584,0
390,CHEMBL206783,CHEMBL207674,0
391,CHEMBL206783,CHEMBL208292,0
392,CHEMBL206783,CHEMBL377772,0
393,CHEMBL206783,CHEMBL380454,0
394,CHEMBL206955,CHEMBL382638,0
395,CHEMBL207037,CHEMBL207246,0
396,CHEMBL207037,CHEMBL207584,0
397,CHEMBL207037,CHEMBL207674,0
398,CHEMBL207037,CHEMBL208292,0
399,CHEMBL207037,CHEMBL377772,0
400,CHEMBL207037,CHEMBL380454,0
401,CHEMBL207130,CHEMBL207718,0
402,CHEMBL207130,CHEMBL383246,0
403,CHEMBL207130,CHEMBL425601,0
404,CHEMBL207246,CHEMBL207584,0
405,CHEMBL207246,CHEMBL207674,0
406,CHEMBL207246,CHEMBL208292,0
407,CHEMBL207246,CHEMBL377772,0
408,CHEMBL207246,CHEMBL380454,0
409,CHEMBL207445,CHEMBL207815,0
410,CHEMBL207445,CHEMBL208286,0
411,CHEMBL207445,CHEMBL379601,0
412,CHEMBL207445,CHEMBL379905,0
413,CHEMBL207584,CHEMBL207674,0
414,CHEMBL207584,CHEMBL208292,0
415,CHEMBL207584,CHEMBL377772,0
416,CHEMBL207584,CHEMBL380454,0
417,CHEMBL207674,CHEMBL208292,0
418,CHEMBL207674,CHEMBL377772,0
419,CHEMBL207674,CHEMBL380454,0
420,CHEMBL207687,CHEMBL208118,0
421,CHEMBL207687,CHEMBL211003,0
422,CHEMBL207687,CHEMBL376967,0
423,CHEMBL207687,CHEMBL380006,0
424,CHEMBL207687,CHEMBL380386,0
425,CHEMBL207687,CHEMBL380889,0
426,CHEMBL207687,CHEMBL382823,0
427,CHEMBL207718,CHEMBL383246,0
428,CHEMBL207718,CHEMBL425601,0
429,CHEMBL208048,CHEMBL208286,0
430,CHEMBL208048,CHEMBL379905,0
431,CHEMBL208118,CHEMBL211003,0
432,CHEMBL208118,CHEMBL376967,0
433,CHEMBL208118,CHEMBL380006,0
434,CHEMBL208118,CHEMBL380386,0
435,CHEMBL208118,CHEMBL380889,0
436,CHEMBL208118,CHEMBL382823,0
437,CHEMBL208286,CHEMBL378370,0
438,CHEMBL208286,CHEMBL379601,0
439,CHEMBL208286,CHEMBL379905,0
440,CHEMBL208292,CHEMBL377772,0
441,CHEMBL208292,CHEMBL380454,0
442,CHEMBL210032,CHEMBL2006567,0
443,CHEMBL210928,CHEMBL210963,0
444,CHEMBL210928,CHEMBL378627,0
445,CHEMBL210963,CHEMBL378627,0
446,CHEMBL211003,CHEMBL376967,0
447,CHEMBL211003,CHEMBL380006,0
448,CHEMBL211003,CHEMBL380386,0
449,CHEMBL211003,CHEMBL380889,0
450,CHEMBL211003,CHEMBL382823,0
451,CHEMBL223367,CHEMBL373598,0
452,CHEMBL223367,CHEMBL413779,0
453,CHEMBL2312303,CHEMBL2312304,0
454,CHEMBL373598,CHEMBL223257,0
455,CHEMBL373598,CHEMBL413779,0
456,CHEMBL376967,CHEMBL380006,0
457,CHEMBL376967,CHEMBL382823,0
458,CHEMBL377383,CHEMBL377408,0
459,CHEMBL377383,CHEMBL424872,0
460,CHEMBL377383,CHEMBL2004355,0
461,CHEMBL377383,CHEMBL2006581,0
462,CHEMBL377772,CHEMBL380454,0
463,CHEMBL378370,CHEMBL379905,0
464,CHEMBL379601,CHEMBL379905,0
465,CHEMBL380006,CHEMBL382823,0
466,CHEMBL380386,CHEMBL382823,0
467,CHEMBL382822,CHEMBL383760,0
468,CHEMBL383246,CHEMBL425601,0
469,CHEMBL485285,CHEMBL485286,0
470,CHEMBL495729,CHEMBL523559,0
471,CHEMBL590109,CHEMBL1985095,0
472,CHEMBL590109,CHEMBL592030,0
473,CHEMBL116070,CHEMBL1974310,0
474,CHEMBL1190711,CHEMBL1998112,0
475,CHEMBL1242373,CHEMBL1964687,0
476,CHEMBL1242373,CHEMBL1968406,0
477,CHEMBL1242373,CHEMBL1982135,0
478,CHEMBL1682341,CHEMBL1682346,0
479,CHEMBL1682341,CHEMBL1682545,0
480,CHEMBL1682341,CHEMBL1969843,0
481,CHEMBL1682341,CHEMBL1682345,0
482,CHEMBL1682341,CHEMBL1682357,0
483,CHEMBL1682341,CHEMBL1682360,0
484,CHEMBL1682346,CHEMBL1975128,0
485,CHEMBL1682346,CHEMBL1682345,0
486,CHEMBL1682346,CHEMBL1984432,0
487,CHEMBL1682545,CHEMBL1682546,0
488,CHEMBL1682545,CHEMBL1969843,0
489,CHEMBL1682545,CHEMBL1682345,0
490,CHEMBL1682545,CHEMBL1682357,0
491,CHEMBL1682545,CHEMBL1682360,0
492,CHEMBL1682546,CHEMBL1682357,0
493,CHEMBL1825138,CHEMBL2071457,0
494,CHEMBL183844,CHEMBL184847,0
495,CHEMBL183844,CHEMBL185569,0
496,CHEMBL183844,CHEMBL2004311,0
497,CHEMBL184847,CHEMBL185569,0
498,CHEMBL185569,CHEMBL375284,0
499,CHEMBL196363,CHEMBL1967531,0
500,CHEMBL196363,CHEMBL1973145,0
501,CHEMBL196363,CHEMBL1976220,0
502,CHEMBL196363,CHEMBL1983963,0
503,CHEMBL196363,CHEMBL1984586,0
504,CHEMBL196363,CHEMBL2000335,0
505,CHEMBL196363,CHEMBL2005828,0
506,CHEMBL196363,CHEMBL211378,0
507,CHEMBL196363,CHEMBL231209,0
508,CHEMBL196363,CHEMBL262433,0
509,CHEMBL196363,CHEMBL394619,0
510,CHEMBL196363,CHEMBL394790,0
511,CHEMBL1964444,CHEMBL1966816,0
512,CHEMBL1964444,CHEMBL1980540,0
513,CHEMBL1964444,CHEMBL1982660,0
514,CHEMBL1964644,CHEMBL259850,0
515,CHEMBL1964687,CHEMBL1968406,0
516,CHEMBL1964687,CHEMBL1982135,0
517,CHEMBL1965131,CHEMBL2003271,0
518,CHEMBL1965131,CHEMBL2006785,0
519,CHEMBL1965423,CHEMBL2004419,1
520,CHEMBL1965507,CHEMBL1970203,0
521,CHEMBL1965507,CHEMBL1972576,0
522,CHEMBL1965507,CHEMBL1980144,0
523,CHEMBL1965507,CHEMBL1988594,0
524,CHEMBL1965507,CHEMBL1990583,0
525,CHEMBL1965570,CHEMBL1966514,0
526,CHEMBL1965631,CHEMBL1977223,0
527,CHEMBL1965660,CHEMBL1981079,0
528,CHEMBL1965988,CHEMBL1973211,0
529,CHEMBL1965988,CHEMBL1979577,0
530,CHEMBL1965988,CHEMBL1979883,0
531,CHEMBL1965988,CHEMBL394619,0
532,CHEMBL1965988,CHEMBL1969102,0
533,CHEMBL1966279,CHEMBL2000481,0
534,CHEMBL1966514,CHEMBL1988075,0
535,CHEMBL1966514,CHEMBL1969102,0
536,CHEMBL1966628,CHEMBL1995813,0
537,CHEMBL1966628,CHEMBL385478,0
538,CHEMBL1966722,CHEMBL1975138,0
539,CHEMBL1966808,CHEMBL2007592,0
540,CHEMBL1966808,CHEMBL1970806,0
541,CHEMBL1966816,CHEMBL1980540,0
542,CHEMBL1967116,CHEMBL1979883,0
543,CHEMBL1967116,CHEMBL1980297,0
544,CHEMBL1967116,CHEMBL1982466,0
545,CHEMBL1967116,CHEMBL1988075,0
546,CHEMBL1967116,CHEMBL1969102,0
547,CHEMBL1967116,CHEMBL1970317,0
548,CHEMBL1967302,CHEMBL1987679,0
549,CHEMBL1967531,CHEMBL1983963,0
550,CHEMBL1967531,CHEMBL1984586,0
551,CHEMBL1967531,CHEMBL2000335,0
552,CHEMBL1967531,CHEMBL2005828,0
553,CHEMBL1967531,CHEMBL211378,0
554,CHEMBL1967531,CHEMBL262433,0
555,CHEMBL1967560,CHEMBL1968380,0
556,CHEMBL1967560,CHEMBL2005375,0
557,CHEMBL1968380,CHEMBL2005375,0
558,CHEMBL1968406,CHEMBL1982135,0
559,CHEMBL1968791,CHEMBL2007151,0
560,CHEMBL1969049,CHEMBL2004934,0
561,CHEMBL1969190,CHEMBL1973937,0
562,CHEMBL1969190,CHEMBL271381,0
563,CHEMBL1969301,CHEMBL484390,0
564,CHEMBL1969301,CHEMBL519697,0
565,CHEMBL1969561,CHEMBL1986970,0
566,CHEMBL1969561,CHEMBL1996111,0
567,CHEMBL1969843,CHEMBL1682345,0
568,CHEMBL1969843,CHEMBL1682357,0
569,CHEMBL1969843,CHEMBL1682360,0
570,CHEMBL1969879,CHEMBL234085,0
571,CHEMBL1970074,CHEMBL213505,0
572,CHEMBL1970142,CHEMBL2001485,0
573,CHEMBL1970203,CHEMBL1972576,0
574,CHEMBL1970203,CHEMBL1980144,0
575,CHEMBL1970203,CHEMBL1988594,0
576,CHEMBL1970522,CHEMBL1972937,0
577,CHEMBL1970522,CHEMBL2000354,0
578,CHEMBL1970709,CHEMBL1973808,0
579,CHEMBL1971141,CHEMBL220057,0
580,CHEMBL1971649,CHEMBL507936,0
581,CHEMBL1972158,CHEMBL1986499,0
582,CHEMBL1972158,CHEMBL1999931,0
583,CHEMBL1972221,CHEMBL1973893,0
584,CHEMBL1972576,CHEMBL1980144,0
585,CHEMBL1972576,CHEMBL1988594,0
586,CHEMBL1972584,CHEMBL1970879,1
587,CHEMBL1972849,CHEMBL1976732,0
588,CHEMBL1972849,CHEMBL1996587,0
589,CHEMBL1972849,CHEMBL1977374,0
590,CHEMBL1973098,CHEMBL2003286,0
591,CHEMBL1973145,CHEMBL1983963,0
592,CHEMBL1973145,CHEMBL2000335,0
593,CHEMBL1973145,CHEMBL211378,0
594,CHEMBL1973211,CHEMBL1979577,0
595,CHEMBL1973211,CHEMBL1979883,0
596,CHEMBL1973211,CHEMBL1982465,0
597,CHEMBL1973211,CHEMBL1969102,0
598,CHEMBL1973211,CHEMBL1971947,0
599,CHEMBL1973348,CHEMBL2001751,0
600,CHEMBL1973348,CHEMBL1994361,0
601,CHEMBL1973808,CHEMBL1972489,0
602,CHEMBL1973860,CHEMBL1990912,0
603,CHEMBL1973937,CHEMBL271381,0
604,CHEMBL1974416,CHEMBL1996979,0
605,CHEMBL1974935,CHEMBL1983945,0
606,CHEMBL1974935,CHEMBL1993584,0
607,CHEMBL1974935,CHEMBL1968245,0
