target,drug1,drug2,affinity1,affinity2
OSR1,126565,44259,8000.0,440.0
p38-delta,126565,44259,3500.0,240.0
PAK1,126565,44259,30.0,0.57
PAK2,126565,44259,43.0,3.1
PAK6,126565,44259,9.9,0.57
PAK7,126565,44259,24.0,1.2
PCTK3,126565,44259,10000.0,270.0
PDGFRA,126565,44259,350.0,10.0
PDGFRB,126565,44259,29.0,1.8
PFCDPK1(Pfalciparum),126565,44259,5.6,0.25
PHKG2,126565,44259,1.7,0.14
PIK3CA(H1047Y),126565,44259,650.0,10000.0
PIM1,126565,44259,200.0,3.2
PIM2,126565,44259,250.0,1.9
PIM3,5291,10074640,10000.0,720.0
PIM3,126565,44259,18.0,0.51
PIP5K2C,5291,10074640,380.0,10000.0
PKAC-alpha,126565,44259,220.0,19.0
PRKCD,126565,44259,240.0,1.5
PRKCE,126565,44259,160.0,0.25
PRKCH,126565,44259,140.0,4.8
PRKCI,126565,44259,1800.0,26.0
PRKCQ,126565,44259,100.0,8.5
PRKG1,126565,44259,370.0,32.0
PYK2,126565,44259,41.0,3.5
QSK,126565,44259,120.0,0.46
RIOK1,126565,44259,9.0,130.0
RIOK2,126565,44259,6700.0,390.0
ROCK1,126565,44259,56.0,0.28
ROCK2,126565,44259,71.0,0.24
S6K1,126565,44259,69.0,1.3
SBK1,126565,44259,200.0,3.2
SIK,126565,44259,82.0,2.2
SIK2,126565,44259,15.0,1.1
SLK,126565,44259,35.0,0.024
SNARK,126565,44259,1.0,0.086
SNRK,126565,44259,10000.0,90.0
SRC,5291,10074640,10000.0,900.0
STK16,126565,44259,19.0,270.0
STK33,126565,44259,26.0,1.8
TAK1,126565,44259,2.9,67.0
TAOK1,126565,44259,70.0,0.45
TAOK2,126565,44259,500.0,12.0
TAOK3,126565,44259,86.0,0.22
TBK1,126565,44259,18.0,0.89
TGFBR1,126565,44259,120.0,2000.0
TGFBR2,126565,44259,540.0,10000.0
TIE1,126565,44259,680.0,65.0
ULK1,126565,44259,1000.0,9.9
ULK2,126565,44259,60.0,0.79
YANK1,126565,44259,2100.0,13.0
YANK2,126565,44259,5900.0,98.0
YANK3,126565,44259,8000.0,310.0
YES,5291,10074640,10000.0,570.0
