target,drug1,drug2,affinity1,affinity2
Q15139,CHEMBL337026,CHEMBL423731,14.145757491,11.622878745
Q15139,CHEMBL337027,CHEMBL338944,13.497940009,12.344125144
Q15139,CHEMBL337027,CHEMBL339364,13.497940009,12.351811973
Q15139,CHEMBL337027,CHEMBL434415,13.497940009,12.300659451
Q15139,CHEMBL337035,CHEMBL339364,13.487216143,12.351811973
Q15139,CHEMBL337035,CHEMBL434415,13.487216143,12.300659451
Q15139,CHEMBL337297,CHEMBL338944,13.543697499,12.344125144
Q15139,CHEMBL337297,CHEMBL339364,13.543697499,12.351811973
Q15139,CHEMBL337297,CHEMBL434415,13.543697499,12.300659451
Q15139,CHEMBL338049,CHEMBL339799,13.986056648,12.69345982
Q15139,CHEMBL338049,CHEMBL423731,13.986056648,11.622878745
Q15139,CHEMBL338449,CHEMBL338935,12.555931956,13.953871964
Q15139,CHEMBL338935,CHEMBL339364,13.953871964,12.351811973
Q15139,CHEMBL338935,CHEMBL434415,13.953871964,12.300659451
Q15139,CHEMBL338935,CHEMBL444337,13.953871964,12.685026652
Q15139,CHEMBL338944,CHEMBL338956,12.344125144,13.622878745
Q15139,CHEMBL338956,CHEMBL339364,13.622878745,12.351811973
Q15139,CHEMBL338956,CHEMBL434415,13.622878745,12.300659451
Q15139,CHEMBL338966,CHEMBL433855,10.869551079,9.798970004
Q15139,CHEMBL338966,CHEMBL435191,10.869551079,9.798970004
Q15139,CHEMBL339799,CHEMBL423731,12.69345982,11.622878745
Q15139,CHEMBL339799,CHEMBL574737,12.69345982,13.897412227
Q15139,CHEMBL348586,CHEMBL350143,13.798970004,12.622878745
Q15139,CHEMBL365598,CHEMBL60254,13.196910013,14.37572413
Q15139,CHEMBL407100,CHEMBL415414,10.224938737,11.356133347
Q15139,CHEMBL423731,CHEMBL574737,11.622878745,13.897412227
Q15139,CHEMBL423731,CHEMBL83790,11.622878745,14.757577319
Q15139,CHEMBL55382,CHEMBL83790,12.757577319,14.757577319
Q15139,CHEMBL7939,CHEMBL8163,10.594850022,9.401029996
Q15139,CHEMBL95737,CHEMBL97768,10.1,11.401029996
Q15139,CHEMBL95812,CHEMBL99572,10.078810701,11.196910013
Q15139,CHEMBL97448,CHEMBL97768,10.058607315,11.401029996
Q15139,CHEMBL97768,CHEMBL97796,11.401029996,10.020818754
O94806,CHEMBL1090356,CHEMBL1090360,12.699997654,11.599999679
O94806,CHEMBL1090356,CHEMBL2001228,12.699997654,11.500000186
O94806,CHEMBL1090356,CHEMBL2005482,12.699997654,11.500000186
O94806,CHEMBL112602,CHEMBL338966,9.798970004,10.869551079
O94806,CHEMBL116070,CHEMBL1978195,11.1,12.199999035
O94806,CHEMBL1164180,CHEMBL1164265,11.999998417,13.000008766
O94806,CHEMBL1190711,CHEMBL1998112,13.600038134,11.1
O94806,CHEMBL1202927,CHEMBL26501,11.798970004,13.864471553
O94806,CHEMBL130049,CHEMBL293750,12.844727495,10.351811973
O94806,CHEMBL130049,CHEMBL338935,12.844727495,13.953871964
O94806,CHEMBL130181,CHEMBL337026,12.728932138,14.145757491
O94806,CHEMBL130181,CHEMBL338049,12.728932138,13.986056648
O94806,CHEMBL130181,CHEMBL574737,12.728932138,13.897412227
O94806,CHEMBL131193,CHEMBL335012,12.25490196,13.608638306
O94806,CHEMBL131193,CHEMBL337297,12.25490196,13.543697499
O94806,CHEMBL131193,CHEMBL338956,12.25490196,13.622878745
O94806,CHEMBL131426,CHEMBL293750,12.821246399,10.351811973
O94806,CHEMBL131426,CHEMBL338935,12.821246399,13.953871964
O94806,CHEMBL131456,CHEMBL335020,10.1,13.122276395
O94806,CHEMBL131456,CHEMBL338956,10.1,13.622878745
O94806,CHEMBL131715,CHEMBL335012,12.555931956,13.608638306
O94806,CHEMBL131715,CHEMBL338956,12.555931956,13.622878745
O94806,CHEMBL132348,CHEMBL293750,13.437242168,10.351811973
O94806,CHEMBL132348,CHEMBL434415,13.437242168,12.300659451
O94806,CHEMBL133209,CHEMBL338966,9.798970004,10.869551079
O94806,CHEMBL134536,CHEMBL334337,10.32184875,11.622878745
O94806,CHEMBL135491,CHEMBL338966,9.798970004,10.869551079
O94806,CHEMBL135881,CHEMBL338966,9.798970004,10.869551079
O94806,CHEMBL162621,CHEMBL354246,14.798970004,13.58148606
O94806,CHEMBL189963,CHEMBL365847,12.499996913,11.1
O94806,CHEMBL193697,CHEMBL60254,12.293820026,14.37572413
O94806,CHEMBL1966628,CHEMBL1995813,14.299970641,13.200015437
O94806,CHEMBL1967560,CHEMBL1968380,11.1,13.000008766
O94806,CHEMBL1967998,CHEMBL1973516,13.399988938,12.049999338
O94806,CHEMBL1968380,CHEMBL2005375,13.000008766,11.800000504
O94806,CHEMBL1969126,CHEMBL2004419,12.299998172,13.399988938
O94806,CHEMBL1969588,CHEMBL1993413,12.899998135,11.500000186
O94806,CHEMBL1969735,CHEMBL2007372,12.399997603,11.1
O94806,CHEMBL1972339,CHEMBL1986499,12.699997654,11.500000186
O94806,CHEMBL1972988,CHEMBL2007574,11.500000186,12.699997654
O94806,CHEMBL1973348,CHEMBL2001751,11.1,14.299970641
O94806,CHEMBL1973516,CHEMBL1979690,12.049999338,13.1
O94806,CHEMBL1973720,CHEMBL1980253,14.400162274,13.200015437
O94806,CHEMBL1973720,CHEMBL1991674,14.400162274,12.899998135
O94806,CHEMBL1973720,CHEMBL1994438,14.400162274,12.799991797
O94806,CHEMBL1973720,CHEMBL2006439,14.400162274,11.800000504
O94806,CHEMBL1973860,CHEMBL1990912,11.300000237,12.699997654
O94806,CHEMBL1974870,CHEMBL2002726,14.500116928,12.899998135
O94806,CHEMBL197538,CHEMBL200381,10.622878745,9.497940009
O94806,CHEMBL1976936,CHEMBL1983589,12.399997603,14.1
O94806,CHEMBL1976936,CHEMBL1998432,12.399997603,13.600038134
O94806,CHEMBL1978166,CHEMBL1982465,12.399997603,11.1
O94806,CHEMBL1979933,CHEMBL243298,12.199999035,13.299970641
O94806,CHEMBL1980178,CHEMBL1992220,12.499996913,14.1
O94806,CHEMBL1980178,CHEMBL2005509,12.499996913,14.400162274
O94806,CHEMBL1980253,CHEMBL1997846,13.200015437,11.699999383
O94806,CHEMBL1980253,CHEMBL2006439,13.200015437,11.800000504
O94806,CHEMBL1980995,CHEMBL293750,13.500007822,10.351811973
O94806,CHEMBL1980995,CHEMBL294653,13.500007822,11.336572006
O94806,CHEMBL1980995,CHEMBL423731,13.500007822,11.622878745
O94806,CHEMBL1980995,CHEMBL83790,13.500007822,14.757577319
O94806,CHEMBL1982383,CHEMBL2007372,12.199999035,11.1
O94806,CHEMBL1983589,CHEMBL1991674,14.1,12.899998135
O94806,CHEMBL1983589,CHEMBL1997846,14.1,11.699999383
O94806,CHEMBL1983630,CHEMBL2003456,10.300000031,11.300000237
O94806,CHEMBL1983630,CHEMBL526133,10.300000031,11.900000875
O94806,CHEMBL1984191,CHEMBL1997041,11.300000237,10.300000031
O94806,CHEMBL1986666,CHEMBL244378,12.499996913,13.899970733
O94806,CHEMBL1986666,CHEMBL396523,12.499996913,13.899970733
O94806,CHEMBL1988163,CHEMBL1993424,13.299970641,11.999998417
O94806,CHEMBL1989957,CHEMBL1990912,11.1,12.699997654
O94806,CHEMBL1990912,CHEMBL1998435,12.699997654,11.1
O94806,CHEMBL1995832,CHEMBL2007372,12.599996932,11.1
O94806,CHEMBL1996980,CHEMBL2005509,13.399988938,14.400162274
O94806,CHEMBL1997129,CHEMBL226471,14.500116928,12.599996932
O94806,CHEMBL2005509,CHEMBL2006456,14.400162274,13.399988938
O94806,CHEMBL26501,CHEMBL421565,13.864471553,12.32184875
O94806,CHEMBL266487,CHEMBL329274,12.821246399,14.1
O94806,CHEMBL277008,CHEMBL338966,9.798970004,10.869551079
O94806,CHEMBL293750,CHEMBL335648,10.351811973,13.594850022
O94806,CHEMBL293750,CHEMBL337026,10.351811973,14.145757491
O94806,CHEMBL293750,CHEMBL337035,10.351811973,13.487216143
O94806,CHEMBL293750,CHEMBL338049,10.351811973,13.986056648
O94806,CHEMBL293750,CHEMBL338935,10.351811973,13.953871964
O94806,CHEMBL293750,CHEMBL339799,10.351811973,12.69345982
O94806,CHEMBL293750,CHEMBL423731,10.351811973,11.622878745
O94806,CHEMBL293750,CHEMBL574737,10.351811973,13.897412227
O94806,CHEMBL294653,CHEMBL337026,11.336572006,14.145757491
O94806,CHEMBL294653,CHEMBL338049,11.336572006,13.986056648
O94806,CHEMBL294653,CHEMBL339799,11.336572006,12.69345982
O94806,CHEMBL294653,CHEMBL574737,11.336572006,13.897412227
O94806,CHEMBL294653,CHEMBL83790,11.336572006,14.757577319
O94806,CHEMBL324765,CHEMBL338966,9.798970004,10.869551079
O94806,CHEMBL327291,CHEMBL95737,11.196910013,10.1
O94806,CHEMBL327291,CHEMBL97026,11.196910013,10.145757491
O94806,CHEMBL327291,CHEMBL97448,11.196910013,10.058607315
O94806,CHEMBL327291,CHEMBL97796,11.196910013,10.020818754
O94806,CHEMBL334337,CHEMBL334461,11.622878745,9.923908741
O94806,CHEMBL334337,CHEMBL338967,11.622878745,9.798970004
O94806,CHEMBL334337,CHEMBL405405,11.622878745,9.986056648
O94806,CHEMBL334360,CHEMBL334461,11.020818754,9.923908741
O94806,CHEMBL334360,CHEMBL338967,11.020818754,9.798970004
O94806,CHEMBL334360,CHEMBL405405,11.020818754,9.986056648
O94806,CHEMBL335012,CHEMBL338449,13.608638306,12.555931956
O94806,CHEMBL335012,CHEMBL338944,13.608638306,12.344125144
O94806,CHEMBL335012,CHEMBL339364,13.608638306,12.351811973
O94806,CHEMBL335012,CHEMBL434415,13.608638306,12.300659451
O94806,CHEMBL335020,CHEMBL434037,13.122276395,11.923908741
O94806,CHEMBL335932,CHEMBL434037,12.986056648,11.923908741
O94806,CHEMBL336603,CHEMBL338966,9.798970004,10.869551079
O94806,CHEMBL336626,CHEMBL338966,9.798970004,10.869551079
O94806,CHEMBL337026,CHEMBL338155,14.145757491,13.117728767
O94806,CHEMBL337026,CHEMBL339799,14.145757491,12.69345982
O94806,CHEMBL337026,CHEMBL423731,14.145757491,11.622878745
O94806,CHEMBL337027,CHEMBL338944,13.497940009,12.344125144
O94806,CHEMBL337027,CHEMBL339364,13.497940009,12.351811973
O94806,CHEMBL337027,CHEMBL434415,13.497940009,12.300659451
O94806,CHEMBL337035,CHEMBL339364,13.487216143,12.351811973
O94806,CHEMBL337035,CHEMBL434415,13.487216143,12.300659451
O94806,CHEMBL337297,CHEMBL338944,13.543697499,12.344125144
O94806,CHEMBL337297,CHEMBL339364,13.543697499,12.351811973
O94806,CHEMBL337297,CHEMBL434415,13.543697499,12.300659451
O94806,CHEMBL338049,CHEMBL339799,13.986056648,12.69345982
O94806,CHEMBL338049,CHEMBL423731,13.986056648,11.622878745
O94806,CHEMBL338449,CHEMBL338935,12.555931956,13.953871964
O94806,CHEMBL338935,CHEMBL339364,13.953871964,12.351811973
O94806,CHEMBL338935,CHEMBL434415,13.953871964,12.300659451
O94806,CHEMBL338935,CHEMBL444337,13.953871964,12.685026652
O94806,CHEMBL338944,CHEMBL338956,12.344125144,13.622878745
O94806,CHEMBL338956,CHEMBL339364,13.622878745,12.351811973
O94806,CHEMBL338956,CHEMBL434415,13.622878745,12.300659451
O94806,CHEMBL338966,CHEMBL433855,10.869551079,9.798970004
O94806,CHEMBL338966,CHEMBL435191,10.869551079,9.798970004
O94806,CHEMBL339799,CHEMBL423731,12.69345982,11.622878745
O94806,CHEMBL339799,CHEMBL574737,12.69345982,13.897412227
O94806,CHEMBL340384,CHEMBL340921,13.8000571,12.199999035
O94806,CHEMBL348586,CHEMBL350143,13.798970004,12.622878745
O94806,CHEMBL365598,CHEMBL60254,13.196910013,14.37572413
O94806,CHEMBL38380,CHEMBL75773,12.1,11.020818754
O94806,CHEMBL407100,CHEMBL415414,10.224938737,11.356133347
O94806,CHEMBL423731,CHEMBL574737,11.622878745,13.897412227
O94806,CHEMBL423731,CHEMBL83790,11.622878745,14.757577319
O94806,CHEMBL55382,CHEMBL83790,12.757577319,14.757577319
O94806,CHEMBL7939,CHEMBL8163,10.594850022,9.401029996
O94806,CHEMBL95737,CHEMBL97768,10.1,11.401029996
O94806,CHEMBL95812,CHEMBL99572,10.078810701,11.196910013
O94806,CHEMBL97448,CHEMBL97768,10.058607315,11.401029996
O94806,CHEMBL97768,CHEMBL97796,11.401029996,10.020818754
P05129,CHEMBL104264,CHEMBL1987756,10.598940738,11.599999679
P05129,CHEMBL112602,CHEMBL338966,9.798970004,10.869551079
P05129,CHEMBL1202927,CHEMBL26501,11.798970004,13.864471553
P05129,CHEMBL130049,CHEMBL293750,12.844727495,10.351811973
P05129,CHEMBL130049,CHEMBL338935,12.844727495,13.953871964
P05129,CHEMBL130181,CHEMBL337026,12.728932138,14.145757491
P05129,CHEMBL130181,CHEMBL338049,12.728932138,13.986056648
P05129,CHEMBL130181,CHEMBL574737,12.728932138,13.897412227
P05129,CHEMBL131193,CHEMBL335012,12.25490196,13.608638306
P05129,CHEMBL131193,CHEMBL337297,12.25490196,13.543697499
P05129,CHEMBL131193,CHEMBL338956,12.25490196,13.622878745
P05129,CHEMBL131426,CHEMBL1980995,12.821246399,14.600312917
P05129,CHEMBL131426,CHEMBL293750,12.821246399,10.351811973
P05129,CHEMBL131426,CHEMBL338935,12.821246399,13.953871964
P05129,CHEMBL131456,CHEMBL335020,10.1,13.122276395
P05129,CHEMBL131456,CHEMBL338956,10.1,13.622878745
P05129,CHEMBL131715,CHEMBL335012,12.555931956,13.608638306
P05129,CHEMBL131715,CHEMBL338956,12.555931956,13.622878745
P05129,CHEMBL132348,CHEMBL293750,13.437242168,10.351811973
P05129,CHEMBL132348,CHEMBL434415,13.437242168,12.300659451
P05129,CHEMBL133209,CHEMBL338966,9.798970004,10.869551079
P05129,CHEMBL134536,CHEMBL334337,10.32184875,11.622878745
P05129,CHEMBL135491,CHEMBL338966,9.798970004,10.869551079
P05129,CHEMBL135881,CHEMBL338966,9.798970004,10.869551079
P05129,CHEMBL162621,CHEMBL354246,14.798970004,13.58148606
P05129,CHEMBL193697,CHEMBL60254,12.293820026,14.088686474
P05129,CHEMBL1967302,CHEMBL210390,11.800000504,13.608638306
P05129,CHEMBL1972158,CHEMBL1999931,11.599999679,13.200015437
P05129,CHEMBL1972840,CHEMBL383264,11.599999679,12.668636236
P05129,CHEMBL1973348,CHEMBL2001751,11.200000128,13.600038134
P05129,CHEMBL1974870,CHEMBL2002726,14.299970641,12.699997654
P05129,CHEMBL197538,CHEMBL200381,10.622878745,9.497940009
P05129,CHEMBL1976240,CHEMBL2007296,12.399997603,11.200000128
P05129,CHEMBL1980995,CHEMBL293750,14.600312917,10.351811973
P05129,CHEMBL1980995,CHEMBL294653,14.600312917,11.336572006
P05129,CHEMBL1980995,CHEMBL339799,14.600312917,12.69345982
P05129,CHEMBL1980995,CHEMBL423731,14.600312917,11.622878745
P05129,CHEMBL1987679,CHEMBL210390,12.1,13.608638306
P05129,CHEMBL1988163,CHEMBL1993424,12.599996932,11.300000237
P05129,CHEMBL1991728,CHEMBL2000685,12.299998172,11.200000128
P05129,CHEMBL1994361,CHEMBL2001751,11.200000128,13.600038134
P05129,CHEMBL26501,CHEMBL421565,13.864471553,12.32184875
P05129,CHEMBL266487,CHEMBL329274,12.821246399,14.1
P05129,CHEMBL277008,CHEMBL338966,9.798970004,10.869551079
P05129,CHEMBL293750,CHEMBL335648,10.351811973,13.594850022
P05129,CHEMBL293750,CHEMBL337026,10.351811973,14.145757491
P05129,CHEMBL293750,CHEMBL337035,10.351811973,13.487216143
P05129,CHEMBL293750,CHEMBL338049,10.351811973,13.986056648
P05129,CHEMBL293750,CHEMBL338935,10.351811973,13.953871964
P05129,CHEMBL293750,CHEMBL339799,10.351811973,12.69345982
P05129,CHEMBL293750,CHEMBL423731,10.351811973,11.622878745
P05129,CHEMBL293750,CHEMBL574737,10.351811973,13.897412227
P05129,CHEMBL294653,CHEMBL337026,11.336572006,14.145757491
P05129,CHEMBL294653,CHEMBL338049,11.336572006,13.986056648
P05129,CHEMBL294653,CHEMBL339799,11.336572006,12.69345982
P05129,CHEMBL294653,CHEMBL574737,11.336572006,13.897412227
P05129,CHEMBL294653,CHEMBL83790,11.336572006,14.757577319
P05129,CHEMBL300549,CHEMBL55394,11.25490196,12.497940009
P05129,CHEMBL324765,CHEMBL338966,9.798970004,10.869551079
P05129,CHEMBL327291,CHEMBL95737,11.196910013,10.1
P05129,CHEMBL327291,CHEMBL97026,11.196910013,10.145757491
P05129,CHEMBL327291,CHEMBL97448,11.196910013,10.058607315
P05129,CHEMBL327291,CHEMBL97796,11.196910013,10.020818754
P05129,CHEMBL332575,CHEMBL386636,10.347951552,13.180921908
P05129,CHEMBL334337,CHEMBL334461,11.622878745,9.923908741
P05129,CHEMBL334337,CHEMBL338967,11.622878745,9.798970004
P05129,CHEMBL334337,CHEMBL405405,11.622878745,9.986056648
P05129,CHEMBL334360,CHEMBL334461,11.020818754,9.923908741
P05129,CHEMBL334360,CHEMBL338967,11.020818754,9.798970004
P05129,CHEMBL334360,CHEMBL405405,11.020818754,9.986056648
P05129,CHEMBL335012,CHEMBL338449,13.608638306,12.555931956
P05129,CHEMBL335012,CHEMBL338944,13.608638306,12.344125144
P05129,CHEMBL335012,CHEMBL339364,13.608638306,12.351811973
P05129,CHEMBL335012,CHEMBL434415,13.608638306,12.300659451
P05129,CHEMBL335020,CHEMBL434037,13.122276395,11.923908741
P05129,CHEMBL335932,CHEMBL434037,12.986056648,11.923908741
P05129,CHEMBL336603,CHEMBL338966,9.798970004,10.869551079
P05129,CHEMBL336626,CHEMBL338966,9.798970004,10.869551079
P05129,CHEMBL337026,CHEMBL338155,14.145757491,13.117728767
P05129,CHEMBL337026,CHEMBL339799,14.145757491,12.69345982
P05129,CHEMBL337026,CHEMBL423731,14.145757491,11.622878745
P05129,CHEMBL337027,CHEMBL338944,13.497940009,12.344125144
P05129,CHEMBL337027,CHEMBL339364,13.497940009,12.351811973
P05129,CHEMBL337027,CHEMBL434415,13.497940009,12.300659451
P05129,CHEMBL337035,CHEMBL339364,13.487216143,12.351811973
P05129,CHEMBL337035,CHEMBL434415,13.487216143,12.300659451
P05129,CHEMBL337297,CHEMBL338944,13.543697499,12.344125144
P05129,CHEMBL337297,CHEMBL339364,13.543697499,12.351811973
P05129,CHEMBL337297,CHEMBL434415,13.543697499,12.300659451
P05129,CHEMBL338049,CHEMBL339799,13.986056648,12.69345982
P05129,CHEMBL338049,CHEMBL423731,13.986056648,11.622878745
P05129,CHEMBL338449,CHEMBL338935,12.555931956,13.953871964
P05129,CHEMBL338935,CHEMBL339364,13.953871964,12.351811973
P05129,CHEMBL338935,CHEMBL434415,13.953871964,12.300659451
P05129,CHEMBL338935,CHEMBL444337,13.953871964,12.685026652
P05129,CHEMBL338944,CHEMBL338956,12.344125144,13.622878745
P05129,CHEMBL338956,CHEMBL339364,13.622878745,12.351811973
P05129,CHEMBL338956,CHEMBL434415,13.622878745,12.300659451
P05129,CHEMBL338966,CHEMBL433855,10.869551079,9.798970004
P05129,CHEMBL338966,CHEMBL435191,10.869551079,9.798970004
P05129,CHEMBL339799,CHEMBL423731,12.69345982,11.622878745
P05129,CHEMBL339799,CHEMBL574737,12.69345982,13.897412227
P05129,CHEMBL348586,CHEMBL350143,13.798970004,12.622878745
P05129,CHEMBL407100,CHEMBL415414,10.224938737,11.356133347
P05129,CHEMBL423731,CHEMBL574737,11.622878745,13.897412227
P05129,CHEMBL423731,CHEMBL83790,11.622878745,14.757577319
P05129,CHEMBL55382,CHEMBL83790,12.757577319,14.757577319
P05129,CHEMBL7939,CHEMBL8163,10.594850022,9.401029996
P05129,CHEMBL95737,CHEMBL97768,10.1,11.401029996
P05129,CHEMBL95812,CHEMBL99572,10.078810701,11.196910013
P05129,CHEMBL97448,CHEMBL97768,10.058607315,11.401029996
P05129,CHEMBL97768,CHEMBL97796,11.401029996,10.020818754
P05771,CHEMBL112602,CHEMBL338966,9.798970004,10.869551079
P05771,CHEMBL1202927,CHEMBL26501,11.798970004,13.864471553
P05771,CHEMBL130049,CHEMBL293750,12.844727495,10.351811973
P05771,CHEMBL130049,CHEMBL338935,12.844727495,13.953871964
P05771,CHEMBL130181,CHEMBL337026,12.728932138,14.145757491
P05771,CHEMBL130181,CHEMBL338049,12.728932138,13.986056648
P05771,CHEMBL130181,CHEMBL574737,12.728932138,13.897412227
P05771,CHEMBL131193,CHEMBL335012,12.25490196,13.608638306
P05771,CHEMBL131193,CHEMBL337297,12.25490196,13.543697499
P05771,CHEMBL131193,CHEMBL338956,12.25490196,13.622878745
P05771,CHEMBL131426,CHEMBL293750,12.821246399,10.351811973
P05771,CHEMBL131426,CHEMBL338935,12.821246399,13.953871964
P05771,CHEMBL131456,CHEMBL335020,10.1,13.122276395
P05771,CHEMBL131456,CHEMBL338956,10.1,13.622878745
P05771,CHEMBL131715,CHEMBL335012,12.555931956,13.608638306
P05771,CHEMBL131715,CHEMBL338956,12.555931956,13.622878745
P05771,CHEMBL132348,CHEMBL293750,13.437242168,10.351811973
P05771,CHEMBL132348,CHEMBL434415,13.437242168,12.300659451
P05771,CHEMBL133209,CHEMBL338966,9.798970004,10.869551079
P05771,CHEMBL134536,CHEMBL334337,10.32184875,11.622878745
P05771,CHEMBL135491,CHEMBL338966,9.798970004,10.869551079
P05771,CHEMBL135881,CHEMBL338966,9.798970004,10.869551079
P05771,CHEMBL162621,CHEMBL354246,14.798970004,13.58148606
P05771,CHEMBL193697,CHEMBL60254,12.293820026,14.053938913
P05771,CHEMBL197538,CHEMBL200381,10.622878745,9.497940009
P05771,CHEMBL26501,CHEMBL421565,13.864471553,12.32184875
P05771,CHEMBL266487,CHEMBL329274,12.773664139,14.1
P05771,CHEMBL267019,CHEMBL7939,10.224938737,11.547423468
P05771,CHEMBL277008,CHEMBL338966,9.798970004,10.869551079
P05771,CHEMBL293750,CHEMBL335648,10.351811973,13.594850022
P05771,CHEMBL293750,CHEMBL337026,10.351811973,14.145757491
P05771,CHEMBL293750,CHEMBL337035,10.351811973,13.487216143
P05771,CHEMBL293750,CHEMBL338049,10.351811973,13.986056648
P05771,CHEMBL293750,CHEMBL338935,10.351811973,13.953871964
P05771,CHEMBL293750,CHEMBL339799,10.351811973,12.69345982
P05771,CHEMBL293750,CHEMBL423731,10.351811973,11.622878745
P05771,CHEMBL293750,CHEMBL574737,10.351811973,13.897412227
P05771,CHEMBL294653,CHEMBL337026,11.336572006,14.145757491
P05771,CHEMBL294653,CHEMBL338049,11.336572006,13.986056648
P05771,CHEMBL294653,CHEMBL339799,11.336572006,12.69345982
P05771,CHEMBL294653,CHEMBL574737,11.336572006,13.897412227
P05771,CHEMBL294653,CHEMBL83790,11.336572006,14.757577319
P05771,CHEMBL324765,CHEMBL338966,9.798970004,10.869551079
P05771,CHEMBL327291,CHEMBL95737,11.196910013,10.1
P05771,CHEMBL327291,CHEMBL97026,11.196910013,10.145757491
P05771,CHEMBL327291,CHEMBL97448,11.196910013,10.058607315
P05771,CHEMBL327291,CHEMBL97796,11.196910013,10.020818754
P05771,CHEMBL332575,CHEMBL386636,11.145757491,13.180921908
P05771,CHEMBL334337,CHEMBL334461,11.622878745,9.923908741
P05771,CHEMBL334337,CHEMBL338967,11.622878745,9.798970004
P05771,CHEMBL334337,CHEMBL405405,11.622878745,9.986056648
